metric,value,description
timings_sec_by_crawl,"{""CC-MAIN-2016-44"": {""time_input_read_sec"": 5.085101, ""time_parse_sec"": 2.265402, ""time_term_match_sec"": 38.656451, ""time_domain_extract_sec"": 0.413676, ""time_write_sec"": 0.000248, ""total_elapsed_sec"": 46.562197}, ""CC-MAIN-2026-04"": {""time_input_read_sec"": 2.065297, ""time_parse_sec"": 1.018429, ""time_term_match_sec"": 14.948169, ""time_domain_extract_sec"": 0.16213, ""time_write_sec"": 0.000122, ""total_elapsed_sec"": 18.254645}}",JSON map from crawl_id to timing breakdown in seconds.
combined.docs_scanned,157461,Combined scanned documents across all slices.
combined.candidate_hits,728,Combined candidate term matches across all slices.
combined.final_hits,721,Combined retained final hits across all slices.
combined.removed_boilerplate_signature,5,Combined signature-based boilerplate removals across slices.
combined.removed_boilerplate_density,2,Combined density-based boilerplate removals across slices.
combined.removed_boilerplate_total,7,Combined total boilerplate removals across slices.
combined.candidate_per_10k,46.233671,"Combined candidate hit rate per 10,000 scanned documents."
combined.final_per_10k,45.789116,"Combined final hit rate per 10,000 scanned documents."
slice.CC-MAIN-2016-44.docs_scanned,112200,Slice-level scanned documents for this crawl_id.
slice.CC-MAIN-2016-44.candidate_hits,489,Slice-level candidate matches before final filtering.
slice.CC-MAIN-2016-44.final_hits,487,Slice-level final retained hits after filtering.
slice.CC-MAIN-2016-44.removed_boilerplate_signature,0,Slice-level signature-based boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_density,2,Slice-level density-based boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_total,2,Slice-level total boilerplate removals.
slice.CC-MAIN-2016-44.candidate_per_10k,43.582888,"Slice-level candidate hit rate per 10,000 scanned documents."
slice.CC-MAIN-2016-44.final_per_10k,43.404635,"Slice-level final hit rate per 10,000 scanned documents."
slice.CC-MAIN-2026-04.docs_scanned,45261,Slice-level scanned documents for this crawl_id.
slice.CC-MAIN-2026-04.candidate_hits,239,Slice-level candidate matches before final filtering.
slice.CC-MAIN-2026-04.final_hits,234,Slice-level final retained hits after filtering.
slice.CC-MAIN-2026-04.removed_boilerplate_signature,5,Slice-level signature-based boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_density,0,Slice-level density-based boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_total,5,Slice-level total boilerplate removals.
slice.CC-MAIN-2026-04.candidate_per_10k,52.804843,"Slice-level candidate hit rate per 10,000 scanned documents."
slice.CC-MAIN-2026-04.final_per_10k,51.700139,"Slice-level final hit rate per 10,000 scanned documents."
