metric,value,description
removed_boilerplate_commerce_by_crawl,"{""CC-MAIN-2016-44"": 0, ""CC-MAIN-2026-04"": 1}",JSON map from crawl_id to commerce boilerplate removals.
removed_boilerplate_total_by_crawl,"{""CC-MAIN-2016-44"": 33, ""CC-MAIN-2026-04"": 14}",JSON map from crawl_id to total boilerplate removals.
docs_per_sec_by_crawl,"{""CC-MAIN-2016-44"": 2415.68557, ""CC-MAIN-2026-04"": 2487.563311}",JSON map from crawl_id to scan throughput in docs per second.
timings_sec,"{""time_input_read_sec"": 6.909809, ""time_parse_sec"": 3.275464, ""time_term_match_sec"": 53.644327, ""time_domain_extract_sec"": 0.582919, ""time_write_sec"": 0.018719, ""total_elapsed_sec"": 64.672332}",JSON object of combined timing breakdown in seconds.
timings_sec_by_crawl,"{""CC-MAIN-2016-44"": {""time_input_read_sec"": 4.92002, ""time_parse_sec"": 2.255892, ""time_term_match_sec"": 38.689067, ""time_domain_extract_sec"": 0.420159, ""time_write_sec"": 0.000268, ""total_elapsed_sec"": 46.446442}, ""CC-MAIN-2026-04"": {""time_input_read_sec"": 1.989789, ""time_parse_sec"": 1.019572, ""time_term_match_sec"": 14.95526, ""time_domain_extract_sec"": 0.16276, ""time_write_sec"": 0.000127, ""total_elapsed_sec"": 18.194914}}",JSON map from crawl_id to timing breakdown in seconds.
combined.docs_scanned,157461,Combined scanned documents across all slices.
combined.candidate_hits,728,Combined candidate term matches across all slices.
combined.final_hits,681,Combined retained final hits across all slices.
combined.removed_boilerplate_signature,5,Combined signature-based boilerplate removals across slices.
combined.removed_boilerplate_density,2,Combined density-based boilerplate removals across slices.
combined.removed_boilerplate_listiness,39,Combined listiness/taxonomy boilerplate removals across slices.
combined.removed_boilerplate_az_index,0,Combined A-Z/index boilerplate removals across slices.
combined.removed_boilerplate_topic_hub,0,Combined topic-hub boilerplate removals across slices.
combined.removed_boilerplate_commerce,1,Combined commerce boilerplate removals across slices.
combined.removed_boilerplate_total,47,Combined total boilerplate removals across slices.
combined.candidate_per_10k,46.233671,"Combined candidate hit rate per 10,000 scanned documents."
combined.final_per_10k,43.248804,"Combined final hit rate per 10,000 scanned documents."
slice.CC-MAIN-2016-44.docs_scanned,112200,Slice-level scanned documents for this crawl_id.
slice.CC-MAIN-2016-44.candidate_hits,489,Slice-level candidate matches before final filtering.
slice.CC-MAIN-2016-44.final_hits,456,Slice-level final retained hits after filtering.
slice.CC-MAIN-2016-44.removed_boilerplate_signature,0,Slice-level signature-based boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_density,2,Slice-level density-based boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_listiness,31,Slice-level listiness/taxonomy boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_az_index,0,Slice-level A-Z/index boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_topic_hub,0,Slice-level topic-hub boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_commerce,0,Slice-level commerce boilerplate removals.
slice.CC-MAIN-2016-44.removed_boilerplate_total,33,Slice-level total boilerplate removals.
slice.CC-MAIN-2016-44.candidate_per_10k,43.582888,"Slice-level candidate hit rate per 10,000 scanned documents."
slice.CC-MAIN-2016-44.final_per_10k,40.641711,"Slice-level final hit rate per 10,000 scanned documents."
slice.CC-MAIN-2026-04.docs_scanned,45261,Slice-level scanned documents for this crawl_id.
slice.CC-MAIN-2026-04.candidate_hits,239,Slice-level candidate matches before final filtering.
slice.CC-MAIN-2026-04.final_hits,225,Slice-level final retained hits after filtering.
slice.CC-MAIN-2026-04.removed_boilerplate_signature,5,Slice-level signature-based boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_density,0,Slice-level density-based boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_listiness,8,Slice-level listiness/taxonomy boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_az_index,0,Slice-level A-Z/index boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_topic_hub,0,Slice-level topic-hub boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_commerce,1,Slice-level commerce boilerplate removals.
slice.CC-MAIN-2026-04.removed_boilerplate_total,14,Slice-level total boilerplate removals.
slice.CC-MAIN-2026-04.candidate_per_10k,52.804843,"Slice-level candidate hit rate per 10,000 scanned documents."
slice.CC-MAIN-2026-04.final_per_10k,49.711672,"Slice-level final hit rate per 10,000 scanned documents."
